"","HZ","date","expert","expert.date","p_cm_val","p_cm"
"1","BENI","23-12-2019",9,"expert 9 23-12-2019",0.9,">=2"
"2","BENI","17-12-2019",10,"expert 10 17-12-2019",0.7,">=2"
"3","BENI","17-12-2019",1,"expert 1 17-12-2019",1,">=2"
"4","BENI","23-12-2019",11,"expert 11 23-12-2019",0.95,">=2"
"5","BENI","18-12-2019",4,"expert 4 18-12-2019",0.75,">=2"
"6","BENI","19-12-2019",5,"expert 5 19-12-2019",1,">=2"
"7","BENI","19-12-2019",2,"expert 2 19-12-2019",1,">=2"
"8","BENI","23-12-2019",8,"expert 8 23-12-2019",0.6,">=2"
"9","BIENA","18-12-2019",4,"expert 4 18-12-2019",0.7,">=2"
"10","BIENA","23-12-2019",9,"expert 9 23-12-2019",0.8,">=2"
"11","BIENA","19-12-2019",2,"expert 2 19-12-2019",1,">=2"
"12","BIENA","17-12-2019",1,"expert 1 17-12-2019",0.95,">=2"
"13","BIENA","23-12-2019",11,"expert 11 23-12-2019",0.6,">=2"
"14","BIENA","17-12-2019",10,"expert 10 17-12-2019",0.05,">=2"
"15","BIENA","19-12-2019",5,"expert 5 19-12-2019",0.1,">=2"
"16","BIENA","23-12-2019",8,"expert 8 23-12-2019",0.65,">=2"
"17","GOMA","23-12-2019",8,"expert 8 23-12-2019",0.1,">=2"
"18","GOMA","17-12-2019",10,"expert 10 17-12-2019",0.1,">=2"
"19","GOMA","17-12-2019",1,"expert 1 17-12-2019",0,">=2"
"20","GOMA","18-12-2019",4,"expert 4 18-12-2019",0.45,">=2"
"21","GOMA","23-12-2019",9,"expert 9 23-12-2019",0.35,">=2"
"22","GOMA","23-12-2019",11,"expert 11 23-12-2019",0.2,">=2"
"23","GOMA","19-12-2019",5,"expert 5 19-12-2019",0,">=2"
"24","GOMA","19-12-2019",2,"expert 2 19-12-2019",0.1,">=2"
"25","MABALAKO","17-12-2019",10,"expert 10 17-12-2019",0.7,">=2"
"26","MABALAKO","19-12-2019",2,"expert 2 19-12-2019",1,">=2"
"27","MABALAKO","23-12-2019",11,"expert 11 23-12-2019",1,">=2"
"28","MABALAKO","19-12-2019",5,"expert 5 19-12-2019",1,">=2"
"29","MABALAKO","18-12-2019",4,"expert 4 18-12-2019",0.95,">=2"
"30","MABALAKO","23-12-2019",8,"expert 8 23-12-2019",1,">=2"
"31","MABALAKO","17-12-2019",1,"expert 1 17-12-2019",1,">=2"
"32","MABALAKO","23-12-2019",9,"expert 9 23-12-2019",1,">=2"
"33","MANDIMA","18-12-2019",4,"expert 4 18-12-2019",0.95,">=2"
"34","MANDIMA","17-12-2019",10,"expert 10 17-12-2019",0.25,">=2"
"35","MANDIMA","17-12-2019",1,"expert 1 17-12-2019",0.95,">=2"
"36","MANDIMA","23-12-2019",11,"expert 11 23-12-2019",1,">=2"
"37","MANDIMA","19-12-2019",5,"expert 5 19-12-2019",0.95,">=2"
"38","MANDIMA","23-12-2019",8,"expert 8 23-12-2019",0.9,">=2"
"39","MANDIMA","23-12-2019",9,"expert 9 23-12-2019",0.9,">=2"
"40","MANDIMA","19-12-2019",2,"expert 2 19-12-2019",1,">=2"
"41","OICHA","17-12-2019",1,"expert 1 17-12-2019",0.95,">=2"
"42","OICHA","23-12-2019",11,"expert 11 23-12-2019",1,">=2"
"43","OICHA","19-12-2019",5,"expert 5 19-12-2019",0.15,">=2"
"44","OICHA","19-12-2019",2,"expert 2 19-12-2019",0.55,">=2"
"45","OICHA","18-12-2019",4,"expert 4 18-12-2019",0.95,">=2"
"46","OICHA","23-12-2019",8,"expert 8 23-12-2019",0.65,">=2"
"47","OICHA","17-12-2019",10,"expert 10 17-12-2019",0.2,">=2"
"48","OICHA","23-12-2019",9,"expert 9 23-12-2019",0.8,">=2"
"49","BENI","17-12-2019",1,"expert 1 17-12-2019",0.95,">=6"
"50","BENI","17-12-2019",10,"expert 10 17-12-2019",0,">=6"
"51","BENI","18-12-2019",4,"expert 4 18-12-2019",0.25,">=6"
"52","BENI","19-12-2019",2,"expert 2 19-12-2019",0.5,">=6"
"53","BENI","19-12-2019",5,"expert 5 19-12-2019",0.8,">=6"
"54","BENI","23-12-2019",8,"expert 8 23-12-2019",0.2,">=6"
"55","BENI","23-12-2019",9,"expert 9 23-12-2019",0.25,">=6"
"56","BENI","23-12-2019",11,"expert 11 23-12-2019",0.6,">=6"
"57","BIENA","17-12-2019",1,"expert 1 17-12-2019",0.55,">=6"
"58","BIENA","17-12-2019",10,"expert 10 17-12-2019",0,">=6"
"59","BIENA","18-12-2019",4,"expert 4 18-12-2019",0.25,">=6"
"60","BIENA","19-12-2019",2,"expert 2 19-12-2019",0.1,">=6"
"61","BIENA","19-12-2019",5,"expert 5 19-12-2019",0,">=6"
"62","BIENA","23-12-2019",8,"expert 8 23-12-2019",0.2,">=6"
"63","BIENA","23-12-2019",9,"expert 9 23-12-2019",0.05,">=6"
"64","BIENA","23-12-2019",11,"expert 11 23-12-2019",0,">=6"
"65","GOMA","17-12-2019",1,"expert 1 17-12-2019",0,">=6"
"66","GOMA","17-12-2019",10,"expert 10 17-12-2019",0,">=6"
"67","GOMA","18-12-2019",4,"expert 4 18-12-2019",0.1,">=6"
"68","GOMA","19-12-2019",2,"expert 2 19-12-2019",0,">=6"
"69","GOMA","19-12-2019",5,"expert 5 19-12-2019",0,">=6"
"70","GOMA","23-12-2019",8,"expert 8 23-12-2019",0,">=6"
"71","GOMA","23-12-2019",9,"expert 9 23-12-2019",0,">=6"
"72","GOMA","23-12-2019",11,"expert 11 23-12-2019",0,">=6"
"73","MABALAKO","17-12-2019",1,"expert 1 17-12-2019",1,">=6"
"74","MABALAKO","17-12-2019",10,"expert 10 17-12-2019",0,">=6"
"75","MABALAKO","18-12-2019",4,"expert 4 18-12-2019",0.75,">=6"
"76","MABALAKO","19-12-2019",2,"expert 2 19-12-2019",1,">=6"
"77","MABALAKO","19-12-2019",5,"expert 5 19-12-2019",1,">=6"
"78","MABALAKO","23-12-2019",8,"expert 8 23-12-2019",0.95,">=6"
"79","MABALAKO","23-12-2019",9,"expert 9 23-12-2019",0.95,">=6"
"80","MABALAKO","23-12-2019",11,"expert 11 23-12-2019",1,">=6"
"81","MANDIMA","17-12-2019",1,"expert 1 17-12-2019",0.5,">=6"
"82","MANDIMA","17-12-2019",10,"expert 10 17-12-2019",0,">=6"
"83","MANDIMA","18-12-2019",4,"expert 4 18-12-2019",0.65,">=6"
"84","MANDIMA","19-12-2019",2,"expert 2 19-12-2019",0.7,">=6"
"85","MANDIMA","19-12-2019",5,"expert 5 19-12-2019",0.25,">=6"
"86","MANDIMA","23-12-2019",8,"expert 8 23-12-2019",0.5,">=6"
"87","MANDIMA","23-12-2019",9,"expert 9 23-12-2019",0.3,">=6"
"88","MANDIMA","23-12-2019",11,"expert 11 23-12-2019",1,">=6"
"89","OICHA","17-12-2019",1,"expert 1 17-12-2019",0.55,">=6"
"90","OICHA","17-12-2019",10,"expert 10 17-12-2019",0,">=6"
"91","OICHA","18-12-2019",4,"expert 4 18-12-2019",0.4,">=6"
"92","OICHA","19-12-2019",2,"expert 2 19-12-2019",0.15,">=6"
"93","OICHA","19-12-2019",5,"expert 5 19-12-2019",0,">=6"
"94","OICHA","23-12-2019",8,"expert 8 23-12-2019",0.25,">=6"
"95","OICHA","23-12-2019",9,"expert 9 23-12-2019",0.05,">=6"
"96","OICHA","23-12-2019",11,"expert 11 23-12-2019",0.85,">=6"
"97","BENI","17-12-2019",1,"expert 1 17-12-2019",0.7,">=10"
"98","BENI","17-12-2019",10,"expert 10 17-12-2019",0,">=10"
"99","BENI","18-12-2019",4,"expert 4 18-12-2019",0,">=10"
"100","BENI","19-12-2019",2,"expert 2 19-12-2019",0.05,">=10"
"101","BENI","19-12-2019",5,"expert 5 19-12-2019",0.2,">=10"
"102","BENI","23-12-2019",8,"expert 8 23-12-2019",0.05,">=10"
"103","BENI","23-12-2019",9,"expert 9 23-12-2019",0,">=10"
"104","BENI","23-12-2019",11,"expert 11 23-12-2019",0.15,">=10"
"105","BIENA","17-12-2019",1,"expert 1 17-12-2019",0.15,">=10"
"106","BIENA","17-12-2019",10,"expert 10 17-12-2019",0,">=10"
"107","BIENA","18-12-2019",4,"expert 4 18-12-2019",0.1,">=10"
"108","BIENA","19-12-2019",2,"expert 2 19-12-2019",0,">=10"
"109","BIENA","19-12-2019",5,"expert 5 19-12-2019",0,">=10"
"110","BIENA","23-12-2019",8,"expert 8 23-12-2019",0,">=10"
"111","BIENA","23-12-2019",9,"expert 9 23-12-2019",0,">=10"
"112","BIENA","23-12-2019",11,"expert 11 23-12-2019",0,">=10"
"113","GOMA","17-12-2019",1,"expert 1 17-12-2019",0,">=10"
"114","GOMA","17-12-2019",10,"expert 10 17-12-2019",0,">=10"
"115","GOMA","18-12-2019",4,"expert 4 18-12-2019",0,">=10"
"116","GOMA","19-12-2019",2,"expert 2 19-12-2019",0,">=10"
"117","GOMA","19-12-2019",5,"expert 5 19-12-2019",0,">=10"
"118","GOMA","23-12-2019",8,"expert 8 23-12-2019",0,">=10"
"119","GOMA","23-12-2019",9,"expert 9 23-12-2019",0,">=10"
"120","GOMA","23-12-2019",11,"expert 11 23-12-2019",0,">=10"
"121","MABALAKO","17-12-2019",1,"expert 1 17-12-2019",1,">=10"
"122","MABALAKO","17-12-2019",10,"expert 10 17-12-2019",0,">=10"
"123","MABALAKO","18-12-2019",4,"expert 4 18-12-2019",0.3,">=10"
"124","MABALAKO","19-12-2019",2,"expert 2 19-12-2019",0.35,">=10"
"125","MABALAKO","19-12-2019",5,"expert 5 19-12-2019",1,">=10"
"126","MABALAKO","23-12-2019",8,"expert 8 23-12-2019",0.85,">=10"
"127","MABALAKO","23-12-2019",9,"expert 9 23-12-2019",0.25,">=10"
"128","MABALAKO","23-12-2019",11,"expert 11 23-12-2019",1,">=10"
"129","MANDIMA","17-12-2019",1,"expert 1 17-12-2019",0.15,">=10"
"130","MANDIMA","17-12-2019",10,"expert 10 17-12-2019",0,">=10"
"131","MANDIMA","18-12-2019",4,"expert 4 18-12-2019",0.25,">=10"
"132","MANDIMA","19-12-2019",2,"expert 2 19-12-2019",0.05,">=10"
"133","MANDIMA","19-12-2019",5,"expert 5 19-12-2019",0,">=10"
"134","MANDIMA","23-12-2019",8,"expert 8 23-12-2019",0.15,">=10"
"135","MANDIMA","23-12-2019",9,"expert 9 23-12-2019",0,">=10"
"136","MANDIMA","23-12-2019",11,"expert 11 23-12-2019",1,">=10"
"137","OICHA","17-12-2019",1,"expert 1 17-12-2019",0.15,">=10"
"138","OICHA","17-12-2019",10,"expert 10 17-12-2019",0,">=10"
"139","OICHA","18-12-2019",4,"expert 4 18-12-2019",0.25,">=10"
"140","OICHA","19-12-2019",2,"expert 2 19-12-2019",0.05,">=10"
"141","OICHA","19-12-2019",5,"expert 5 19-12-2019",0,">=10"
"142","OICHA","23-12-2019",8,"expert 8 23-12-2019",0.05,">=10"
"143","OICHA","23-12-2019",9,"expert 9 23-12-2019",0,">=10"
"144","OICHA","23-12-2019",11,"expert 11 23-12-2019",0.45,">=10"
"145","BENI","17-12-2019",1,"expert 1 17-12-2019",0,">=20"
"146","BENI","17-12-2019",10,"expert 10 17-12-2019",0,">=20"
"147","BENI","18-12-2019",4,"expert 4 18-12-2019",0,">=20"
"148","BENI","19-12-2019",2,"expert 2 19-12-2019",0,">=20"
"149","BENI","19-12-2019",5,"expert 5 19-12-2019",0,">=20"
"150","BENI","23-12-2019",8,"expert 8 23-12-2019",0,">=20"
"151","BENI","23-12-2019",9,"expert 9 23-12-2019",0,">=20"
"152","BENI","23-12-2019",11,"expert 11 23-12-2019",0,">=20"
"153","BIENA","17-12-2019",1,"expert 1 17-12-2019",0,">=20"
"154","BIENA","17-12-2019",10,"expert 10 17-12-2019",0,">=20"
"155","BIENA","18-12-2019",4,"expert 4 18-12-2019",0,">=20"
"156","BIENA","19-12-2019",2,"expert 2 19-12-2019",0,">=20"
"157","BIENA","19-12-2019",5,"expert 5 19-12-2019",0,">=20"
"158","BIENA","23-12-2019",8,"expert 8 23-12-2019",0,">=20"
"159","BIENA","23-12-2019",9,"expert 9 23-12-2019",0,">=20"
"160","BIENA","23-12-2019",11,"expert 11 23-12-2019",0,">=20"
"161","GOMA","17-12-2019",1,"expert 1 17-12-2019",0,">=20"
"162","GOMA","17-12-2019",10,"expert 10 17-12-2019",0,">=20"
"163","GOMA","18-12-2019",4,"expert 4 18-12-2019",0,">=20"
"164","GOMA","19-12-2019",2,"expert 2 19-12-2019",0,">=20"
"165","GOMA","19-12-2019",5,"expert 5 19-12-2019",0,">=20"
"166","GOMA","23-12-2019",8,"expert 8 23-12-2019",0,">=20"
"167","GOMA","23-12-2019",9,"expert 9 23-12-2019",0,">=20"
"168","GOMA","23-12-2019",11,"expert 11 23-12-2019",0,">=20"
"169","MABALAKO","17-12-2019",1,"expert 1 17-12-2019",0.75,">=20"
"170","MABALAKO","17-12-2019",10,"expert 10 17-12-2019",0,">=20"
"171","MABALAKO","18-12-2019",4,"expert 4 18-12-2019",0,">=20"
"172","MABALAKO","19-12-2019",2,"expert 2 19-12-2019",0,">=20"
"173","MABALAKO","19-12-2019",5,"expert 5 19-12-2019",0.95,">=20"
"174","MABALAKO","23-12-2019",8,"expert 8 23-12-2019",0.3,">=20"
"175","MABALAKO","23-12-2019",9,"expert 9 23-12-2019",0,">=20"
"176","MABALAKO","23-12-2019",11,"expert 11 23-12-2019",1,">=20"
"177","MANDIMA","17-12-2019",1,"expert 1 17-12-2019",0,">=20"
"178","MANDIMA","17-12-2019",10,"expert 10 17-12-2019",0,">=20"
"179","MANDIMA","18-12-2019",4,"expert 4 18-12-2019",0,">=20"
"180","MANDIMA","19-12-2019",2,"expert 2 19-12-2019",0,">=20"
"181","MANDIMA","19-12-2019",5,"expert 5 19-12-2019",0,">=20"
"182","MANDIMA","23-12-2019",8,"expert 8 23-12-2019",0,">=20"
"183","MANDIMA","23-12-2019",9,"expert 9 23-12-2019",0,">=20"
"184","MANDIMA","23-12-2019",11,"expert 11 23-12-2019",0.8,">=20"
"185","OICHA","17-12-2019",1,"expert 1 17-12-2019",0,">=20"
"186","OICHA","17-12-2019",10,"expert 10 17-12-2019",0,">=20"
"187","OICHA","18-12-2019",4,"expert 4 18-12-2019",0,">=20"
"188","OICHA","19-12-2019",2,"expert 2 19-12-2019",0,">=20"
"189","OICHA","19-12-2019",5,"expert 5 19-12-2019",0,">=20"
"190","OICHA","23-12-2019",8,"expert 8 23-12-2019",0,">=20"
"191","OICHA","23-12-2019",9,"expert 9 23-12-2019",0,">=20"
"192","OICHA","23-12-2019",11,"expert 11 23-12-2019",0,">=20"
